timestamp,vehicle_id,label,route_id,trip_id,latitude,longitude,bearing,current_stop_sequence,stop_id
1457862785,30,CBL-569,,,51.916306,-0.45053977,318.0,0,
1457862788,73,CBL-706,CBL-B,1440557-20160222-20161231,51.87885,-0.5032697,30.0,15,4794
1457862790,102,,,,51.91944,-0.19723518,66.0,0,
1457862790,105,,,,51.907703,-0.20743632,258.0,0,
1457862716,137,ATS-3618,,,51.898205,-0.44551104,138.0,0,
1457862680,155,,,,51.646233,-0.33358574,282.0,0,
1457862793,187,,,,51.76093,-0.41648805,186.0,0,
1457862794,189,,,,51.8793,-0.40542483,138.0,0,
1457862722,191,,,,51.882973,-0.42568344,318.0,0,
1457862694,193,,,,51.879566,-0.41059723,42.0,0,
1457862784,194,,,,51.9181,-0.4516892,210.0,0,
1457862722,195,,,,51.90009,-0.54091334,138.0,0,
1457862784,230,,,,51.888348,-0.47424668,270.0,0,
1457862784,257,,,,52.550804,-0.22122943,102.0,0,
1457862786,264,,,,52.583153,-0.25801104,90.0,0,
1457862785,269,,,,52.602688,-0.26792482,126.0,0,
1457862784,271,,,,52.557346,-0.2649076,174.0,0,
1457862785,274,,,,52.588707,-0.24723518,6.0,0,
1457862788,300,-AF52VMD,,,52.284855,0.11612688,318.0,0,
1457862784,302,-FE51RBU,,,52.18853,0.14141423,102.0,0,
1457862744,303,-FE51RCU,,,52.186558,0.1869602,354.0,0,
1457862785,307,-H13 WCL,,,52.214157,0.07877056,102.0,0,
1457862785,308,-H14 WCL,,,52.17419,0.13681653,246.0,0,
1457862785,320,-LN51 AZL,,,52.229836,0.15793721,246.0,0,
1457862788,321,-LN51 AZW,,,52.246773,0.10980504,342.0,0,
1457862785,322,-P343ROO,,,52.207165,0.12129929,354.0,0,
1457862722,324,-P348ROO,,,52.18369,0.17230503,282.0,0,
1457862754,325,-P721 GND,,,52.20654,0.12690274,210.0,0,
1457862667,334,,,,52.207882,0.12833951,102.0,0,
1457862722,335,-W124 EON,,,52.184498,0.17230503,30.0,0,
1457862788,337,-W202 EON,,,52.197758,0.12862688,330.0,0,
1457862787,339,-W476MKU,,,52.229836,0.15836826,126.0,0,
1457862785,341,-W479MKU,,,52.22912,0.15750618,354.0,0,
1457862785,343,-W992BDP,,,52.263885,0.07402918,114.0,0,
1457862785,347,-X474 AHE,,,52.205555,0.12618434,30.0,0,
1457862784,349,-X605 EGK,,,52.21523,0.16239125,174.0,0,
1457862784,376,,,,52.107346,0.2542016,126.0,0,
1457862792,398,,,,52.12948,-0.461603,54.0,0,
1457862792,401,,,,52.05439,-0.70154554,246.0,0,
1457862792,402,,,,52.13727,-0.47252253,294.0,0,
1457862793,404,,,,52.034943,-0.7732409,318.0,0,
1457862791,406,,,,52.214424,0.0771901,102.0,0,
1457862759,407,,,,52.13745,-0.47180414,162.0,0,
1457862793,409,,,,52.061916,-0.69996506,174.0,0,
1457862793,411,,,,52.02867,-0.6147639,306.0,0,
1457862587,413,,,,52.003582,-0.54536736,150.0,0,
1457862792,416,,,,52.12948,-0.46174666,186.0,0,
1457862793,418,,,,51.75412,-1.262465,126.0,0,
1457862752,423,,,,52.114067,-0.48617196,6.0,0,
1457862665,425,,,,52.137363,-0.4715168,222.0,0,
1457862796,500,,,,52.487362,-0.703557,6.0,0,
1457862796,505,,,,52.253494,-0.9001087,342.0,0,
1457862798,507,,,,52.227955,-0.8970915,270.0,0,
1457862784,514,,,,52.24077,-0.92553973,270.0,0,
1457862785,521,,,,52.257435,-0.8350225,318.0,0,
1457862784,522,,,,52.3017,-0.59622943,18.0,0,
1457862786,529,,,,52.237453,-0.8970915,354.0,0,
1457862785,537,,,,52.239067,-0.89780986,330.0,0,
1457862786,539,,,,52.227776,-0.9012582,90.0,0,
1457862789,554,,,,52.271862,-0.7641892,246.0,0,
1457862788,580,,,,52.244175,-0.8716605,30.0,0,
1457862787,582,,,,52.238617,-0.8983846,102.0,0,
1457862789,583,,,,52.23817,-0.8970915,354.0,0,
1457862788,586,,,,52.253582,-0.8384708,66.0,0,
1457862789,591,,,,52.27016,-0.8108846,78.0,0,
1457862785,593,,,,52.262543,-0.8338731,174.0,0,
1457862788,608,,,,51.74713,-2.2180684,54.0,0,
1457862789,628,,,,52.245247,-0.8432122,126.0,0,
1457862790,631,,,,52.24749,-0.93286735,138.0,0,
1457862790,641,,,,52.487274,-0.7034133,186.0,0,
1457862793,644,,,,52.249996,-0.88013744,198.0,0,
1457862786,653,,,,52.30376,-0.6983846,150.0,0,
1457862792,659,,,,52.238888,-0.8986719,126.0,0,
1457862792,661,,,,52.306717,-0.69924664,354.0,0,
1457862794,663,,,,52.490322,-0.69709146,66.0,0,
1457862792,664,,,,52.574818,-0.24637312,6.0,0,
1457862793,679,,,,51.602776,-1.8180685,90.0,0,
1457862793,682,,,,52.405373,-0.7489593,270.0,0,
1457862794,687,,,,52.243637,-0.91533864,138.0,0,
1457862793,688,,,,52.238976,-0.8986719,126.0,0,
1457862784,693,,,,52.23369,-1.0778387,102.0,0,
1457862794,694,,,,52.259766,-1.1656259,342.0,0,
1457862793,696,,,,52.268456,-0.9105972,306.0,0,
1457862790,902,,,,52.404747,-0.9179248,354.0,0,
1457862791,906,,,,52.27195,-0.83530986,306.0,0,
1457862785,909,,,,52.19507,-0.89120066,54.0,0,
1457862792,912,,,,52.24973,-0.82482135,174.0,0,
1457862793,922,,,,52.239964,-0.89666045,78.0,0,
1457862795,1018,SCFensOVD-15218,,,52.32684,-0.07599,120.0,0,
1457862752,2019,,,,52.586555,-0.2465168,354.0,0,
1457862785,2022,,,,52.129566,-0.4627524,330.0,0,
1457862784,2027,,,,52.726612,-0.12956277,210.0,0,
1457862785,2049,,,,52.588707,-0.24752253,6.0,0,
1457862785,2054,,,,52.542114,-0.29349956,78.0,0,
1457862784,2056,,,,52.553043,-0.24895932,186.0,0,
1457862785,2057,,,,52.588707,-0.24752253,0.0,0,
1457862784,2058,,,,52.54973,-0.22798231,18.0,0,
1457862785,2065,,,,52.571503,-0.2957984,18.0,0,
1457862785,2070,,,,52.587185,-0.2667754,54.0,0,
1457862786,2999,,,,52.23163,0.14902918,306.0,0,
1457862785,3003,,,,52.197937,0.14342573,114.0,0,
1457862785,3046,,,,52.191666,0.12402918,18.0,0,
1457862788,3047,,,,52.191845,0.12402918,198.0,0,
1457862787,3048,,,,52.16756,0.10750619,354.0,0,
1457862784,3051,,,,52.202507,0.13135676,162.0,0,
1457862785,3052,,,,52.207882,0.12618434,102.0,0,
1457862787,3053,,,,52.212364,0.16052343,90.0,0,
1457862786,3054,,,,52.214424,0.08394297,342.0,0,
1457862725,3056,,,,52.212723,0.1817878,198.0,0,
1457862788,3058,,,,52.198116,0.12833951,174.0,0,
1457862784,3059,,,,52.21774,0.13394298,138.0,0,
1457862786,3060,,,,52.168724,0.159374,354.0,0,
1457862787,3063,,,,52.24498,0.15104067,210.0,0,
1457862786,3064,,,,52.204838,0.12474757,210.0,0,
1457862787,3065,,,,52.24498,0.150897,342.0,0,
1457862784,3068,,,,52.586018,-0.27568346,234.0,0,
1457862788,3083,,,,52.201878,0.12503491,150.0,0,
1457862785,3092,,,,52.600895,-0.23372944,270.0,0,
1457862784,3097,,,,52.553852,-0.21964897,270.0,0,
1457862787,3106,,,,52.187363,0.13696021,342.0,0,
1457862784,3120,,,,52.09426,-0.53214896,114.0,0,
